공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
유니버설아트센터,합계,1084,15,14,294,93491,민간(대학로 외),서울특별시 광진구 천호대로 664 (능동)
플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터),합계,359,4,3,394,85347,민간(대학로),서울특별시 종로구 대학로12길 73 (동숭동)
두산아트센터,연강홀,622,6,5,305,71422,민간(대학로 외),서울특별시 종로구 종로33길 15 (연지동)
해피씨어터,합계,250,1,0,1293,78604,민간(대학로),서울특별시 종로구 대학로10길 5 (동숭동)
오마이갓 전용관,합계,78,1,1,177,78198,민간(대학로),서울특별시 종로구 동숭길 68 (동숭동)
장충체육관,합계,4507,16,16,31,78082,공공(기타),서울특별시 중구 동호로 241 (장충동2가) 
한전아트센터,합계,999,6,6,221,77492,공공(기타),서울특별시 서초구 효령로72길 60 (서초동)
KT&G 상상마당 대치아트홀,합계,422,14,13,383,62578,민간(대학로 외),서울특별시 강남구 영동대로 416 (대치동)
마포아트센터,플레이맥,201,17,17,18,2446,공공(문예회관),서울특별시 마포구 대흥로20길 28 (대흥동)
아트포레스트 아트홀,1관,212,1,0,484,46921,민간(대학로),서울특별시 종로구 대학로12길 22 (동숭동)
아트포레스트 아트홀,2관,155,2,1,559,12610,민간(대학로),서울특별시 종로구 대학로12길 22 (동숭동)
아트포레스트 아트홀,합계,367,3,1,1043,59531,민간(대학로),서울특별시 종로구 대학로12길 22 (동숭동)
브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관]),합계,202,3,3,952,59221,민간(대학로),서울특별시 종로구 대학로8길 25 (동숭동)
이화여자대학교 삼성홀,합계,708,11,10,240,56992,민간(대학로 외),서울특별시 서대문구 이화여대길 52 (대현동)
대학로 자유극장 (자유문화발전소),합계,233,9,8,415,47885,민간(대학로),서울특별시 종로구 대학로12길 31 (동숭동)
"정극장 (구. M시어터, 구.하모니아트홀)",합계,120,1,0,1080,47605,민간(대학로),서울특별시 종로구 대학로12길 69 (동숭동)
국립정동극장,정동마루,60,1,1,1,50,국립,서울특별시 중구 정동길 43 (정동)
경희대학교 평화의전당,합계,4500,10,10,38,46589,민간(대학로 외),서울특별시 동대문구 경희대로6길 7-13 (회기동)
나루아트센터,소공연장,167,5,5,32,2244,공공(문예회관),서울특별시 광진구 능동로 76 (자양동)
큐씨어터(구. 수상한흥신소전용관),합계,250,2,0,608,43908,민간(대학로),서울특별시 종로구 대학로8가길 79 (동숭동)
백암아트홀,합계,417,17,16,385,40395,민간(대학로 외),서울특별시 강남구 테헤란로113길 7 (삼성동)
성균관대학교 새천년홀,합계,754,4,4,107,38568,민간(대학로 외),서울특별시 종로구 성균관로 25 - 2
국립극단 [명동],합계,558,9,9,123,36947,국립,서울특별시 중구 명동길 35 (명동1가)
JTN 아트홀(구. 대학로예술마당),1관,230,4,3,406,14166,민간(대학로),서울특별시 종로구 이화장길 26 (이화동) 
JTN 아트홀(구. 대학로예술마당),4관,208,2,0,342,12265,민간(대학로),서울특별시 종로구 이화장길 26 (이화동) 
JTN 아트홀(구. 대학로예술마당),2관,210,1,0,329,7390,민간(대학로),서울특별시 종로구 이화장길 26 (이화동) 
JTN 아트홀(구. 대학로예술마당),3관,208,2,0,181,2962,민간(대학로),서울특별시 종로구 이화장길 26 (이화동) 
JTN 아트홀(구. 대학로예술마당),합계,856,9,3,1258,36783,민간(대학로),서울특별시 종로구 이화장길 26 (이화동) 
컬쳐씨어터(구. 휴먼시어터),합계,120,1,0,910,36544,민간(대학로),서울특별시 종로구 대학로8가길 80 (동숭동)
JS아트홀 (구. 고스트씨어터 구.다소니씨어터),합계,194,1,0,840,34753,민간(대학로),서울특별시 종로구 동숭길 94 (동숭동)
세우아트센터,1관,168,2,1,816,31767,민간(대학로),서울특별시 종로구 대학로12길 49 (동숭동)
세우아트센터,2관,102,6,5,119,2502,민간(대학로),서울특별시 종로구 대학로12길 49 (동숭동)
세우아트센터,합계,270,8,6,935,34269,민간(대학로),서울특별시 종로구 대학로12길 49 (동숭동)
노들섬,잔디마당,616,2,2,4,4608,공공(기타),서울특별시 용산구 양녕로 445 (이촌동)
예그린씨어터,합계,202,7,6,391,32231,민간(대학로),서울특별시 종로구 동숭길 130-5 (동숭동)
댕로홀,합계,83,2,0,1203,31400,민간(대학로),서울특별시 종로구 대학로12길 50 (동숭동)
아스가르드 씨어터(구. 낙산씨어터),합계,100,1,0,916,29854,민간(대학로),서울특별시 종로구 동숭길 140(혜화동)
"파랑씨어터 (구. 도향아트홀, 뮤디스홀)",합계,163,1,0,549,29238,민간(대학로),서울특별시 종로구 대학로8가길 36 (동숭동)
올래홀,합계,175,1,0,872,24906,민간(대학로),서울특별시 종로구 대학로10길 24 (동숭동)
바탕골소극장,합계,192,1,0,788,23953,민간(대학로),서울특별시 종로구 대학로10길 5 (동숭동)
용산아트홀,대극장 미르,787,14,13,109,20402,공공(문예회관),서울특별시 용산구 녹사평대로 150(이태원동 34-87)
용산아트홀,소극장 가람,304,3,3,11,1471,공공(문예회관),서울특별시 용산구 녹사평대로 150(이태원동 34-87)
용산아트홀,합계,1091,17,16,120,21873,공공(문예회관),서울특별시 용산구 녹사평대로 150(이태원동 34-87)
남산골한옥마을,민씨가옥,50,2,2,6,198,공공(기타),서울특별시 중구 퇴계로34길 28 (필동2가)
상상나라극장,합계,212,12,11,234,21200,민간(대학로 외),서울특별시 광진구 능동로 216 (능동)
동덕여대공연예술센터,합계,430,6,5,161,20874,민간(대학로),서울특별시 종로구 동숭길 126 (동숭동)
명동난타극장,합계,386,1,0,507,20841,민간(대학로 외),서울특별시 중구 명동길 26 (명동2가)
동국대학교,합계,302,7,6,146,20257,민간(대학로 외),서울특별시 중구 필동로1길 30 (필동3가)
현대백화점 문화홀 [미아],합계,480,7,7,131,18805,민간(대학로 외),서울특별시 성북구 동소문로 315 (길음동)
학전,블루소극장,194,8,7,214,18593,민간(대학로),서울특별시 종로구 대학로12길 46 (동숭동)
학전,합계,374,8,7,214,18593,민간(대학로),서울특별시 종로구 대학로12길 46 (동숭동)
한국방송회관 코바코홀 (구. 브로드홀),합계,290,13,12,270,18086,공공(기타),서울특별시 양천구 목동동로 233 (목동) 한국방송회관
현대백화점 문화홀 [천호],합계,400,7,7,149,18055,민간(대학로 외),서울특별시 강동구 천호대로 1005 (천호동)
세종대학교 대양홀,합계,2029,12,12,23,17966,민간(대학로 외),서울특별시 광진구 능동로 209 (군자동)
국립정동극장 세실 (구.세실극장),합계,234,14,14,128,16878,국립,서울특별시 중구 세종대로19길 16 (정동)
국립극단 [용산],백성희장민호극장,182,5,5,89,11976,국립,서울특별시 용산구 청파로 373 (서계동)
국립극단 [용산],소극장판,100,8,8,73,3494,국립,서울특별시 용산구 청파로 373 (서계동)
국립극단 [용산],스튜디오 둘,50,3,3,6,283,국립,서울특별시 용산구 청파로 373 (서계동)
광야아트센터,합계,212,2,1,211,15827,민간(대학로 외),서울특별시 강남구 선릉로 806 (청담동)
CJ아지트 대학로 (구. SM아트홀),합계,190,5,5,146,15289,민간(대학로),서울특별시 종로구 대학로12길 69 (동숭동)
하마씨어터(구. 가든씨어터),합계,190,4,2,508,14935,민간(대학로),서울특별시 종로구 대학로10길 15 - 11
한성아트홀(구. 인켈아트홀),1관,245,12,11,183,10921,민간(대학로),서울특별시 종로구 창경궁로 254 (명륜2가)
한성아트홀(구. 인켈아트홀),2관,155,16,16,186,3839,민간(대학로),서울특별시 종로구 창경궁로 254 (명륜2가)
잠실학생체육관,합계,5400,3,3,7,14729,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
아티스탄홀,합계,300,4,1,501,13834,민간(대학로),서울특별시 종로구 대학로 132 (동숭동)
entry55,합계,88,5,5,437,13777,민간(대학로 외),서울특별시 동작구 동작대로1길 18(사당동)
후암씨어터(콘텐츠룸),합계,209,6,6,177,13599,민간(대학로),서울특별시 종로구 대학로11길 23 (명륜4가)
씨어터조이 (구. 마당세실극장),합계,80,17,16,340,12903,민간(대학로),서울특별시 종로구 이화장길 78 (동숭동)
롯데백화점 [영등포],합계,374,10,10,122,12358,민간(대학로 외),서울특별시 영등포구 경인로 846 (영등포동 618-496)
달밤엔씨어터,합계,111,5,1,549,12138,민간(대학로),서울특별시 종로구 대학로14길 18-2 (혜화동)
광운대학교 동해문화예술관,대극장,2029,7,7,11,11594,민간(대학로 외),서울특별시 노원구 광운로 20(월계동)
광운대학교 동해문화예술관,소극장,403,1,1,2,104,민간(대학로 외),서울특별시 노원구 광운로 20(월계동)
광운대학교 동해문화예술관,합계,2432,8,8,13,11698,민간(대학로 외),서울특별시 노원구 광운로 20(월계동)
대학로 스카이씨어터,대학로 스카이씨어터 2관(5층 구 JK아트홀),140,6,6,251,6452,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동)
대학로 스카이씨어터,대학로 스카이씨어터 1관,160,1,0,144,4643,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동)
대학로 스카이씨어터,합계,300,7,6,395,11095,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동)
서울문화재단 대학로극장 쿼드(예술청),프로젝트룸(5층),50,1,1,4,10,공공(문예회관),서울특별시 종로구 동숭길 122(동숭동)
로운아뜨리움(로운아트홀),로운아트홀,619,5,5,32,10699,민간(대학로 외),서울특별시 양천구 목동서로 225 (목동)
로운아뜨리움(로운아트홀),합계,981,5,5,32,10699,민간(대학로 외),서울특별시 양천구 목동서로 225 (목동)
서강대 메리홀,소극장,100,8,8,42,1809,민간(대학로 외),서울특별시 마포구 백범로 35 서강대학교
초록씨어터,합계,160,2,1,393,10578,민간(대학로),서울특별시 종로구 대학로 128(동숭동)
송파브이아트홀,합계,101,3,1,472,9988,민간(대학로 외),서울특별시 송파구 오금로 513 (거여동)
우란2경,우란2경,120,4,4,89,9684,민간(대학로 외),서울특별시 성동구 연무장7길 11 (성수동2가)
우란2경,합계,120,4,4,89,9684,민간(대학로 외),서울특별시 성동구 연무장7길 11 (성수동2가)
업스테이지(UP Stage),합계,153,3,1,576,9508,민간(대학로),서울특별시 종로구 동숭길 41 (동숭동) 
마루아트홀,합계,118,1,0,363,9293,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동)
한국콘텐츠진흥원 CKL스테이지,합계,190,14,14,127,8747,국립,서울특별시 중구 청계천로 40
도봉구민회관,대강당(하모니홀),552,18,18,65,8448,공공(문예회관),서울특별시 도봉구 도봉로 552 (창동)
도봉구민회관,합계,742,18,18,65,8448,공공(문예회관),서울특별시 도봉구 도봉로 552 (창동)
"아루또소극장(구. 소담소극장, 구. 코메디컬센터)",합계,97,1,0,452,8337,민간(대학로),서울특별시 종로구 대학로8가길 48 (동숭동)
노원어린이극장(구.노원어울림극장),합계,282,14,14,75,7719,공공(기타),서울특별시 노원구 노해로 502 (상계동)
노원문화예술회관,대공연장,608,17,17,19,6581,공공(문예회관),서울특별시 노원구 중계로 181 (중계동)
노원문화예술회관,소공연장,292,5,5,5,1028,공공(문예회관),서울특별시 노원구 중계로 181 (중계동)
지즐소극장,합계,84,1,0,464,7562,민간(대학로),서울특별시 종로구 성균관로4길 42 (명륜2가)
연세대학교 대강당,합계,1641,2,2,5,7442,민간(대학로 외),서울특별시 서대문구 연세로 50 (신촌동)
현대카드 언더스테이지,Vinyl ＆ Plastic(뮤직라이브러리),25,6,6,8,1498,민간(대학로 외),서울특별시 용산구 이태원로 246 (한남동) 
미마지아트센터,눈빛극장,282,6,6,77,4170,민간(대학로),서울특별시 종로구 혜화로 17 (명륜1가)
관악아트홀(구. 관악문화관),합계,698,12,12,26,7046,공공(문예회관),서울특별시 관악구 신림로3길 35 (신림동)
성신여자대학교 운정그린캠퍼스 대강당,합계,738,10,9,17,6989,민간(대학로 외),서울특별시 강북구 도봉로76가길 55 (미아동)
북아현아트홀,합계,206,7,7,85,6655,공공(기타),서울특별시 서대문구 북아현로 51(북아현동)
이화여고 100주년 기념관,합계,433,2,2,36,6555,민간(대학로 외),서울특별시 중구 정동길 26 (정동)
레미어린이극장 [금천],합계,194,12,11,225,6541,민간(대학로 외),서울특별시 금천구 두산로 71 (독산동)
더 줌 아트센터,합계,128,6,6,67,6359,민간(대학로 외),서울특별시 용산구 독서당로 111 (한남동)
구로구민회관,합계,531,13,13,37,6349,공공(문예회관),서울특별시 구로구 가마산로25길 21 (구로동)
맛있는 극장,합계,90,1,0,529,6331,민간(대학로),서울특별시 종로구 혜화로 4 (혜화동)
해바라기소극장(구. 훈아트홀),합계,61,1,0,478,6042,민간(대학로),서울특별시 종로구 동숭길 76 (동숭동)
SH아트홀,합계,262,4,4,216,5908,민간(대학로),서울특별시 종로구 동숭길 25 (동숭동)
은평문화예술회관,공연장,701,17,17,44,5806,공공(문예회관),서울특별시 은평구 녹번로 16 (녹번동)
은평문화예술회관,숲속극장,350,1,1,2,3,공공(문예회관),서울특별시 은평구 녹번로 16 (녹번동)
은평문화예술회관,합계,1051,18,18,46,5809,공공(문예회관),서울특별시 은평구 녹번로 16 (녹번동)
제이엘 씨어터,합계,130,2,2,173,5716,민간(대학로 외),서울특별시 마포구 어울마당로 94-8(서교동)
노원구민의전당(구. 노원구민회관),합계,679,17,17,50,5657,공공(기타),서울특별시 노원구 동일로 1229 (중계동)
더 씨어터,합계,96,6,6,99,5653,민간(대학로),서울특별시 종로구 대학로3길 10 (효제동) 고운빌딩
예림당아트홀,합계,468,6,5,54,5543,민간(대학로 외),서울특별시 강남구 언주로 337 (역삼동)
지인시어터(구. 알과핵소극장),합계,176,12,12,164,5486,민간(대학로),서울특별시 종로구 동숭길 25 (동숭동)
굿씨어터,합계,369,9,9,25,5367,민간(대학로),서울특별시 종로구 대학로 144 (혜화동)
영등포아트홀,합계,526,13,13,30,5206,공공(문예회관),서울특별시 영등포구 국회대로 596 (당산동3가)
민송아트홀 (구. 브로드웨이아트홀),2관,194,14,14,84,1483,민간(대학로),서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 6층
흰물결아트센터,화이트홀,475,6,6,22,5127,민간(대학로 외),서울특별시 서초구 반포대로 150 (서초동)
흰물결아트센터,합계,975,6,6,22,5127,민간(대학로 외),서울특별시 서초구 반포대로 150 (서초동)
소극장 창덕궁,합계,80,13,11,168,5092,민간(대학로 외),서울특별시 종로구 창경궁로 227(명륜4가)
건국대학교 새천년관,합계,805,12,12,15,5060,민간(대학로 외),서울특별시 광진구 능동로 120 (화양동) 건국대학교
강동구민회관,합계,608,8,8,23,4937,공공(기타),서울특별시 강동구 상암로 168 (천호동) 강동구민회관
오류아트홀,합계,365,12,12,26,4847,공공(기타),서울특별시 구로구 경인로20가길 38 (오류동)
북촌나래홀,합계,160,3,0,303,4826,민간(대학로 외),서울특별시 종로구 창덕궁길 29 - 38
산울림소극장,합계,100,19,18,169,4774,민간(대학로 외),서울특별시 마포구 와우산로 157 (서교동)
아트하우스,합계,207,4,4,213,4581,민간(대학로),서울특별시 종로구 대학로10길 26(동숭동)
갈산문화예술센터,아이누리홀,200,7,7,50,4082,공공(문예회관),서울특별시 양천구 목동남로 106(신정동)
갈산문화예술센터,아트홀,99,3,3,3,90,공공(문예회관),서울특별시 양천구 목동남로 106(신정동)
갈산문화예술센터,합계,299,10,10,53,4172,공공(문예회관),서울특별시 양천구 목동남로 106(신정동)
연우소극장,합계,80,16,15,188,4138,민간(대학로),서울특별시 종로구 창경궁로35길 21 (혜화동)
에이치씨어터,합계,180,1,0,297,4085,민간(대학로),서울특별시 종로구 이화장길 54 (이화동)
명작극장 (구 아츠플레이씨어터),명작극장 (구 아츠플레이씨어터),173,8,3,317,3990,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동)
명작극장 (구 아츠플레이씨어터),명작극장(구. 명작극장 2관),203,2,2,20,71,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동)
명작극장 (구 아츠플레이씨어터),합계,376,10,5,337,4061,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동)
R&J씨어터(구. 연진아트홀),합계,130,15,15,305,4038,민간(대학로),서울특별시 종로구 낙산길 14 (동숭동)
중랑구민회관,대공연장,494,9,9,26,4022,공공(기타),서울특별시 중랑구 면목로 238 (면목동)
중랑구민회관,합계,614,9,9,26,4022,공공(기타),서울특별시 중랑구 면목로 238 (면목동)
"시온아트홀 (구. JK아트홀, 샘아트홀)",합계,134,18,18,200,3563,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동)
경복궁아트홀,합계,180,7,6,97,3435,민간(대학로 외),서울특별시 종로구 자하문로 82 (효자동)
코델아트홀,합계,120,18,18,215,3255,민간(대학로),서울특별시 종로구 동숭길 78 (동숭동) 지하1층
한국가곡예술마을 나음아트홀,합계,120,3,2,237,2950,민간(대학로 외),서울특별시 강남구 논현로10길 28 (개포동)
해오름 예술극장,합계,170,6,5,168,2949,민간(대학로),서울특별시 종로구 창경궁로 260 (명륜2가)
꿈나무극장,합계,153,9,9,25,2894,공공(기타),서울특별시 구로구 구로동로26길 54 (구로동)
상명아트센터,계당홀,1464,6,6,8,2832,민간(대학로 외),서울특별시 종로구 홍지문2길 20 (홍지동)
상명아트센터,대신홀,317,1,1,1,2,민간(대학로 외),서울특별시 종로구 홍지문2길 20 (홍지동)
상명아트센터,합계,1781,7,7,9,2834,민간(대학로 외),서울특별시 종로구 홍지문2길 20 (홍지동)
이화여자대학교 대강당,합계,2900,1,1,1,2784,민간(대학로 외),서울특별시 서대문구 이화여대길 52 (대현동) 
대학로스타시티,합계,494,1,1,103,2664,민간(대학로),서울특별시 종로구 대학로11길 23 (명륜4가)
목동 아이스링크,합계,5000,1,1,2,2624,공공(기타),서울특별시 양천구 안양천 939 (목1동)
강북문화예술회관,합계,668,7,7,21,2565,공공(문예회관),서울특별시 강북구 삼각산로 85 (수유동)
강서구민회관,우장홀,609,5,5,15,2560,공공(문예회관),서울특별시 강서구 우장산로 66 (내발산동)
강서구민회관,합계,694,5,5,15,2560,공공(문예회관),서울특별시 강서구 우장산로 66 (내발산동)
강남씨어터,합계,232,16,16,24,2506,공공(기타),서울특별시 강남구 역삼로7길 16 (역삼동)
스타스테이지,합계,200,8,8,175,2461,민간(대학로),서울특별시 종로구 대학로12길 15(동숭동)
북극곰소극장(구.아뮤스소극장),합계,37,2,0,351,2036,민간(대학로),서울특별시 종로구 이화장1길 24 (이화동) 
소극장 무극,합계,80,10,10,112,2036,민간(대학로),서울특별시 종로구 대학로9길 18(명륜4가)
한예극장,합계,200,9,9,49,2034,민간(대학로),서울특별시 종로구 이화장길 66(동숭동)
SAC 아트홀,합계,295,5,5,9,1945,민간(대학로 외),서울특별시 강남구 삼성로 534 (삼성동) 
송파어린이문화회관,합계,154,4,4,101,1704,공공(기타),서울특별시 송파구 중대로 235(오금동)
2001 아울렛키즈홀 [구로],합계,100,2,1,24,1592,민간(대학로 외),서울특별시 구로구 중앙로1길 36 (고척동)
일지아트홀,합계,240,10,10,11,1580,민간(대학로 외),서울특별시 강남구 선릉로 806 (청담동) 킹콩빌딩 지하2층
강북문화예술회관 강북진달래홀,합계,171,7,7,16,1562,공공(기타),서울특별시 강북구 삼각산로 85(수유동)
공감센터,합계,1024,2,2,2,1461,민간(대학로 외),서울특별시 중구 퇴계로88길 38 (신당동)
창조소극장 (구. 민아트홀),합계,100,13,13,131,1455,민간(대학로),서울특별시 종로구 창경궁로 259 (명륜2가)
삼청각,합계,150,11,11,38,1432,기타(비공연장),서울특별시 성북구 대사관로 3
스튜디오76(구 이랑씨어터),합계,210,14,13,113,1402,민간(대학로),서울특별시 종로구 이화장길 99 (동숭동)
엠스테이지(구.인사아트홀),합계,176,5,5,289,1400,민간(대학로 외),서울특별시 종로구 인사동길 34-1 (관훈동)
경향아트힐,1관,292,1,1,207,1366,민간(대학로 외),서울특별시 중구 정동길 3 (정동)
경향아트힐,합계,1652,1,1,207,1366,민간(대학로 외),서울특별시 중구 정동길 3 (정동)
연극실험실 혜화동1번지,합계,70,14,14,84,1260,민간(대학로),서울특별시 종로구 창경궁로35길 7 (혜화동)
스위스그랜드호텔,컨벤션홀,800,1,1,2,1241,기타(비공연장),서울특별시 서대문구 연희로 353 (홍은동)
스위스그랜드호텔,합계,1500,1,1,2,1241,기타(비공연장),서울특별시 서대문구 연희로 353 (홍은동)
극장 동국,합계,84,15,15,173,1210,민간(대학로),서울특별시 종로구 창경궁로 259
신촌문화발전소,합계,80,13,13,54,1192,공공(기타),서울특별시 서대문구 연세로2나길 57 (창천동)
대학로 마로니에소극장(플레이더씨어터),합계,130,5,4,137,1168,민간(대학로),서울특별시 종로구 동숭길 50 (동숭동)
성북구민회관,합계,750,3,3,11,1141,공공(기타),서울특별시 성북구 성북로4길 177 - 0 성북구민회관
동덕여자대학교 백주년기념관,합계,650,1,1,2,1088,민간(대학로 외),서울특별시 성북구 화랑로13길 60 (하월곡동) 
대한성공회 서울주교좌성당,합계,200,5,5,5,1074,민간(대학로 외),서울특별시 중구 세종대로21길 15 (정동)
아름다운극장,합계,100,11,10,91,1020,민간(대학로),서울특별시 종로구 성균관로4길 48 (명륜2가)
예술가의 집,합계,100,17,17,21,977,국립,서울특별시 종로구 동숭길 3 (동숭동)
서초문화예술회관(구. 서초구민회관),합계,690,2,2,2,931,공공(문예회관),서울특별시 서초구 강남대로 201 (양재동) 서초구민회관
명동대성당,파밀리아 채플,200,5,5,5,560,기타(비공연장),서울특별시 중구 명동길 74 (명동2가) 명동성당
