공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
동자아트홀,합계,157,2,2,2,298,민간(대학로 외),"서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)"
씨어터 송,합계,100,5,5,25,285,민간(대학로 외),서울특별시 서초구 법원로3길 22 (서초동)
문래예술공장,박스씨어터,100,4,4,24,276,공공(기타),서울특별시 영등포구 경인로88길 5-4 (문래동1가) 문래예술공장
문래예술공장,합계,180,4,4,24,276,공공(기타),서울특별시 영등포구 경인로88길 5-4 (문래동1가) 문래예술공장
베짱이홀,합계,200,10,10,10,275,민간(대학로 외),서울특별시 마포구 독막로15길 3-12 (상수동)
블라인드아트홀,합계,70,1,1,5,266,민간(대학로 외),서울특별시 광진구 아차산로 331-1 (자양동)
가온스테이지,합계,60,9,9,10,255,민간(대학로 외),서울특별시 마포구 잔다리로 59(서교동)
옵신 스페이스(구. 서촌공간 서로),합계,70,2,2,15,231,민간(대학로 외),서울특별시 종로구 필운대로7길 12 (옥인동)
모차르트홀,합계,201,6,6,6,222,민간(대학로 외),서울특별시 서초구 명달로 104 (서초동)
스카이아트홀,합계,980,3,3,5,214,민간(대학로 외),서울특별시 강서구 화곡로63길 65(등촌동)
성북마을극장,합계,80,2,2,11,212,민간(대학로),서울특별시 성북구 동소문로20다길 10 (동선동1가)
소셜베뉴 라움,체임버홀,384,3,2,15,103,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
소셜베뉴 라움,마제스틱볼룸,828,5,5,5,102,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
소셜베뉴 라움,합계,1562,8,7,20,205,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
M극장,합계,150,1,1,4,201,민간(대학로 외),서울특별시 강남구 논현로4길 36 (개포동)
아이러브아트홀,합계,80,4,4,4,192,민간(대학로 외),서울특별시 강남구 압구정로32길 30 (신사동)
대교타워 아이레벨홀,합계,274,1,1,2,181,민간(대학로 외),서울특별시 관악구 보라매로3길 23 (봉천동)
공간 222,합계,33,5,4,29,168,민간(대학로 외),서울특별시 성북구 동소문로 24 (동소문동2가)
후케즈,합계,140,8,8,8,166,민간(대학로 외),서울특별시 영등포구 경인로 715(문래동2가)
윤보선 고택,합계,150,2,2,2,149,기타(비공연장),서울특별시 종로구 윤보선길 62 (안국동) 
게토얼라이브,합계,75,5,5,6,136,민간(대학로 외),서울특별시 성동구 왕십리로 104 (성수동1가) 정일빌딩
경동교회,합계,450,3,3,3,134,기타(비공연장),서울특별시 중구 장충단로 204 (장충동1가) 
호원아트홀,합계,462,2,2,2,131,민간(대학로 외),서울특별시 강동구 성안로 30 (성내동)
용산전자랜드,합계,100,1,1,1,130,민간(대학로 외),서울특별시 용산구 청파로 74(한강로3가)
아트홀제이,합계,23,13,13,21,124,민간(대학로 외),서울특별시 송파구 위례성대로 18 (방이동)
오페라하우스 [신도림],합계,73,2,2,6,122,공공(기타),서울특별시 구로구 새말로 107-32 (구로동)
리엠아트센터 LEEAM ART CENTER,A HALL,150,1,1,1,118,민간(대학로 외),서울특별시 강남구 학동로2길 56 (논현동)
리엠아트센터 LEEAM ART CENTER,합계,260,1,1,1,118,민간(대학로 외),서울특별시 강남구 학동로2길 56 (논현동)
창동극장,합계,100,2,2,8,118,민간(대학로 외),서울특별시 도봉구 노해로 391 (창동)
다리 소극장,합계,200,4,4,12,115,민간(대학로 외),서울특별시 마포구 월드컵북로2길 49(동교동)
대학로 이음센터,이음홀,80,2,2,6,112,공공(기타),서울특별시 종로구 대학로 112 (동숭동)
대학로 이음센터,합계,120,2,2,6,112,공공(기타),서울특별시 종로구 대학로 112 (동숭동)
코리아블루스씨어터,합계,50,2,2,6,112,민간(대학로 외),서울특별시 용산구 청파로45길 5 (청파동3가)
탈영역우정국,합계,80,2,2,6,112,기타(비공연장),서울특별시 마포구 독막로20길 42 (창전동) 
용산전쟁기념관,합계,176,1,1,2,103,국립,서울특별시 용산구 이태원로 29 (용산동1가)
서울시산악문화체험센터,합계,80,1,1,6,101,기타(비공연장),서울특별시 마포구 하늘공원로 112(상암동)
오디오가이스튜디오,합계,100,3,3,3,96,민간(대학로 외),서울특별시 종로구 효자로23 (통의동)
이화여자대학교 김영의홀,합계,380,2,2,2,92,민간(대학로 외),서울특별시 서대문구 이화여대길 52 (대현동)
스튜디오 바이탈 바이브,합계,25,4,4,4,89,민간(대학로 외),서울특별시 강남구 밤고개로34길 14 (세곡동)
로즈아트홀,합계,76,1,0,24,88,민간(대학로 외),서울특별시 노원구 석계로7길 12-8 (월계동) 
대학로단막극장,합계,66,4,4,14,83,민간(대학로),서울특별시 종로구 동숭4길 16-3 (동숭동)
동서울아트홀,합계,234,3,3,7,79,민간(대학로 외),서울특별시 광진구 구의강변로 38 (구의동)
파랑새극장(구. 샘터파랑새극장),합계,180,1,1,1,78,민간(대학로),서울특별시 종로구 대학로 116 (동숭동)
스튜디오 QDA(구. 춤공장),합계,20,2,1,5,73,민간(대학로 외),서울특별시 영등포구 도림로126길 1 (문래동3가)
재즈클럽 그루브,합계,70,16,16,16,71,민간(대학로 외),서울특별시 서초구 신반포로47길 52 (잠원동)
명보아트홀,라온홀,334,1,1,14,40,민간(대학로 외),서울특별시 중구 마른내로 47 (초동)
명보아트홀,가온홀,333,1,1,2,27,민간(대학로 외),서울특별시 중구 마른내로 47 (초동)
명보아트홀,합계,1468,2,2,16,67,민간(대학로 외),서울특별시 중구 마른내로 47 (초동)
SCC 선 아트홀,합계,75,3,3,3,62,민간(대학로 외),서울특별시 서초구 동산로 44(양재동)
서울마포음악창작소(구.뮤지스땅스),합계,50,2,2,2,55,민간(대학로 외),서울특별시 마포구 마포대로 238 (아현동) 지하
세종대학교 충무관,합계,100,1,1,3,54,민간(대학로 외),서울특별시 광진구 능동로 209 (군자동)
긱라이브하우스,합계,60,2,2,3,52,민간(대학로 외),서울특별시 마포구 신촌로10길 7(동교동)
로우키커피 [성수],합계,30,1,1,1,49,기타(비공연장),서울특별시 성동구 뚝섬로1나길 5(성수동1가)
뮤직앤아트스튜디오,합계,20,9,9,9,49,민간(대학로 외),"서울특별시 동작구 사당로 300 (사당동, 이수자이)"
포스트극장,합계,200,2,2,2,48,민간(대학로 외),서울특별시 마포구 와우산로 148 (창전동)
그랜드 워커힐 서울(비스타 워커힐 서울),비스타홀,700,1,1,1,47,민간(대학로 외),서울특별시 광진구 워커힐로 177 (광장동)
그랜드 워커힐 서울(비스타 워커힐 서울),합계,1420,1,1,1,47,민간(대학로 외),서울특별시 광진구 워커힐로 177 (광장동)
버금아트센터,합계,90,1,1,1,46,민간(대학로 외),서울특별시 광진구 능동로 259(군자동)
극장 칸테움,합계,140,1,1,1,44,민간(대학로 외),서울특별시 구로구 디지털로 32가길 25 (구로동)
스튜디오 리움,합계,76,2,2,2,43,민간(대학로 외),서울특별시 서대문구 성산로 533(대신동)
상명아트홀,2관,94,2,2,7,42,민간(대학로),서울특별시 종로구 동숭길 133 (동숭동)
상명아트홀,합계,270,2,2,7,42,민간(대학로),서울특별시 종로구 동숭길 133 (동숭동)
세실아트홀,합계,100,8,8,8,38,민간(대학로 외),서울특별시 강남구 언주로173길 20 (신사동)
음악플러스 아트홀,합계,50,2,1,2,38,민간(대학로 외),서울특별시 서초구 남부순환로317길 82-4(서초동)
두리춤터,FOYER,160,1,1,1,36,민간(대학로 외),서울특별시 서초구 동광로19길 15 (방배동)
두리춤터,합계,310,1,1,1,36,민간(대학로 외),서울특별시 서초구 동광로19길 15 (방배동)
영산양재홀,합계,195,2,2,2,36,민간(대학로 외),서울특별시 서초구 바우뫼로37길 45 (양재동)
자양스테이션(파리뮤직포럼),합계,50,6,6,7,36,기타(비공연장),서울특별시 광진구 자양로11길 18 (자양동)
샤론홀,합계,150,3,3,5,33,민간(대학로 외),서울특별시 서초구 서초대로40길 49(서초동)
서울시민청,합계,100,1,1,1,32,공공(기타),서울특별시 중구 세종대로 110 (태평로1가)
래리치,합계,25,1,1,1,28,민간(대학로 외),서울특별시 용산구 소월로 138 (후암동)
금천뮤지컬센터,합계,197,1,0,2,27,공공(기타),서울특별시 금천구 시흥대로115길 48(독산동)
클럽 샤프,합계,100,1,1,1,27,민간(대학로 외),서울특별시 마포구 동교로 63 (망원동)
성미산마을극장 향,합계,97,1,1,6,24,민간(대학로 외),서울특별시 마포구 월드컵로26길 39 (성산동)
정효아트센터,합계,100,1,1,1,18,민간(대학로 외),서울특별시 서초구 사임당로18길 52-2 (서초동) 
반쥴,합계,70,1,1,1,17,기타(비공연장),서울특별시 종로구 삼일대로17길 23 (관철동) 
후암스튜디오(후암아트홀),합계,170,1,1,7,17,민간(대학로),서울특별시 종로구 대학로11길 23 (명륜4가)
스콘뮤직홀,합계,200,1,1,1,16,민간(대학로),서울특별시 종로구 동숭길 148 (혜화동) 
선릉문화공간 제이드409,합계,80,1,1,1,14,민간(대학로 외),서울특별시 강남구 테헤란로 409(삼성동)
