id,left,top,right,bottom,유휴공연장_개수,공연시설_개수,문화공간_개수,문화시설_개수,노인여가복지시설_개수,노인의료복지시설_개수,장애인거주복지시설_개수,장애인지역사회재활시설_개수
2651,956535.230199999990873,1953487.158199999947101,957035.230199999990873,1952987.158199999947101,0,1,1,1,0,0,0,0
2652,956535.230199999990873,1952987.158199999947101,957035.230199999990873,1952487.158199999947101,0,4,1,0,0,0,0,0
2653,956535.230199999990873,1952487.158199999947101,957035.230199999990873,1951987.158199999947101,1,1,3,1,0,0,0,0
2654,956535.230199999990873,1951987.158199999947101,957035.230199999990873,1951487.158199999947101,0,0,0,0,0,0,0,0
2655,956535.230199999990873,1951487.158199999947101,957035.230199999990873,1950987.158199999947101,0,0,0,0,0,0,0,0
2640,956535.230199999990873,1958987.158199999947101,957035.230199999990873,1958487.158199999947101,0,0,0,0,0,0,0,0
2641,956535.230199999990873,1958487.158199999947101,957035.230199999990873,1957987.158199999947101,0,0,1,1,0,0,0,0
2642,956535.230199999990873,1957987.158199999947101,957035.230199999990873,1957487.158199999947101,0,0,0,0,0,0,0,0
2643,956535.230199999990873,1957487.158199999947101,957035.230199999990873,1956987.158199999947101,0,1,0,0,0,0,0,0
2644,956535.230199999990873,1956987.158199999947101,957035.230199999990873,1956487.158199999947101,0,0,0,0,0,0,0,0
2645,956535.230199999990873,1956487.158199999947101,957035.230199999990873,1955987.158199999947101,0,0,0,0,0,1,1,0
2646,956535.230199999990873,1955987.158199999947101,957035.230199999990873,1955487.158199999947101,0,0,0,0,0,0,0,0
2647,956535.230199999990873,1955487.158199999947101,957035.230199999990873,1954987.158199999947101,1,1,1,1,0,1,0,0
2664,956535.230199999990873,1946987.158199999947101,957035.230199999990873,1946487.158199999947101,0,0,0,0,0,0,0,0
2665,956535.230199999990873,1946487.158199999947101,957035.230199999990873,1945987.158199999947101,0,0,1,0,0,0,0,0
2666,956535.230199999990873,1945987.158199999947101,957035.230199999990873,1945487.158199999947101,0,0,0,1,0,0,0,0
2667,956535.230199999990873,1945487.158199999947101,957035.230199999990873,1944987.158199999947101,0,0,1,0,0,0,0,0
2668,956535.230199999990873,1944987.158199999947101,957035.230199999990873,1944487.158199999947101,0,0,1,1,0,0,0,0
2669,956535.230199999990873,1944487.158199999947101,957035.230199999990873,1943987.158199999947101,0,0,0,1,0,0,0,0
2670,956535.230199999990873,1943987.158199999947101,957035.230199999990873,1943487.158199999947101,0,0,0,0,0,1,0,0
2671,956535.230199999990873,1943487.158199999947101,957035.230199999990873,1942987.158199999947101,0,1,0,2,0,0,0,0
2656,956535.230199999990873,1950987.158199999947101,957035.230199999990873,1950487.158199999947101,0,0,0,3,0,1,0,0
2657,956535.230199999990873,1950487.158199999947101,957035.230199999990873,1949987.158199999947101,0,0,1,1,1,0,0,0
2658,956535.230199999990873,1949987.158199999947101,957035.230199999990873,1949487.158199999947101,0,0,0,0,0,1,0,0
2659,956535.230199999990873,1949487.158199999947101,957035.230199999990873,1948987.158199999947101,0,0,0,1,0,0,0,0
2660,956535.230199999990873,1948987.158199999947101,957035.230199999990873,1948487.158199999947101,1,2,0,0,0,1,0,0
2661,956535.230199999990873,1948487.158199999947101,957035.230199999990873,1947987.158199999947101,0,0,2,0,0,0,0,0
2662,956535.230199999990873,1947987.158199999947101,957035.230199999990873,1947487.158199999947101,0,0,0,0,0,0,0,0
2663,956535.230199999990873,1947487.158199999947101,957035.230199999990873,1946987.158199999947101,0,0,0,0,0,0,0,0
2685,957035.230199999990873,1966987.158199999947101,957535.230199999990873,1966487.158199999947101,0,0,0,0,0,0,0,0
2686,957035.230199999990873,1966487.158199999947101,957535.230199999990873,1965987.158199999947101,0,0,0,0,0,0,0,0
2687,957035.230199999990873,1965987.158199999947101,957535.230199999990873,1965487.158199999947101,0,0,0,0,0,0,0,0
2672,956535.230199999990873,1942987.158199999947101,957035.230199999990873,1942487.158199999947101,2,9,3,2,0,0,0,0
2673,956535.230199999990873,1942487.158199999947101,957035.230199999990873,1941987.158199999947101,0,2,1,3,0,0,0,0
2674,956535.230199999990873,1941987.158199999947101,957035.230199999990873,1941487.158199999947101,0,0,0,0,0,0,0,0
2675,956535.230199999990873,1941487.158199999947101,957035.230199999990873,1940987.158199999947101,0,0,0,0,0,0,0,0
2676,956535.230199999990873,1940987.158199999947101,957035.230199999990873,1940487.158199999947101,0,0,0,0,0,0,0,0
2677,956535.230199999990873,1940487.158199999947101,957035.230199999990873,1939987.158199999947101,0,0,0,0,0,0,0,0
2678,956535.230199999990873,1939987.158199999947101,957035.230199999990873,1939487.158199999947101,0,0,1,1,0,0,0,0
2568,956035.230199999990873,1964487.158199999947101,956535.230199999990873,1963987.158199999947101,0,0,0,0,0,0,0,0
2569,956035.230199999990873,1963987.158199999947101,956535.230199999990873,1963487.158199999947101,0,0,0,0,0,0,0,0
2570,956035.230199999990873,1963487.158199999947101,956535.230199999990873,1962987.158199999947101,0,0,0,0,0,0,0,0
2571,956035.230199999990873,1962987.158199999947101,956535.230199999990873,1962487.158199999947101,0,0,0,0,0,0,0,0
2572,956035.230199999990873,1962487.158199999947101,956535.230199999990873,1961987.158199999947101,0,0,0,0,0,0,0,0
