,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,구,Latitude,Longitude
364,국민대학교 제로원디자인센터,1,40,국민대학교 제로원디자인센터,40,민간(대학로),2004,서울,종로구,서울특별시 종로구 동숭길 122-6 (동숭동),37.5834328,127.0040173
365,국제아트홀,1,170,국제아트홀,170,민간(대학로 외),0,서울,강남구,서울특별시 강남구 압구정로 162 (신사동),37.5262974,127.0274473
367,국화소극장,1,60,국화소극장,60,민간(대학로 외),2014,서울,동작구,서울특별시 동작구 상도로30길 8 (상도동),37.5047764,126.941268
375,굿씨어터,1,369,굿씨어터,369,민간(대학로),2004,서울,종로구,서울특별시 종로구 대학로 144 (혜화동),37.5839645,127.002167
377,그랜드 워커힐 서울(비스타 워커힐 서울),2,1420,"워커힐 시어터
비스타홀","720
700",민간(대학로 외),2002,서울,광진구,서울특별시 광진구 워커힐로 177 (광장동),37.5551679,127.1114168
379,그레뱅뮤지엄,1,120,그레뱅뮤지엄,120,기타(비공연장),0,서울,중구,서울특별시 중구 을지로 23 (을지로1가),37.5659874,126.9805864
383,극단 작은곰 연습실,1,0,극단 작은곰 연습실,0,민간(대학로 외),0,서울,강남구,서울특별시 강남구 일원로3길 28 (일원동),37.4917696,127.0827375
384,극단 제이와이,1,0,극단 제이와이,0,민간(대학로 외),0,서울,서대문구,서울특별시 서대문구 신촌로 173-2 (대현동),37.5604123,126.9463132
385,극장 PLOT,1,0,극장 PLOT,0,민간(대학로 외),0,서울,서대문구,서울특별시 서대문구 연세로4길 27(창천동),37.5576159,126.9382061
386,극장 동국,1,84,극장 동국,84,민간(대학로),2014,서울,종로구,서울특별시 종로구 창경궁로 259,37.5845541,127.000041
387,극장 봄 (봄소극장),1,55,극장 봄,55,민간(대학로),2011,서울,성북구,서울특별시 성북구 삼선교로 14 (삼선동1가),37.5875782,127.0073115
388,극장 칸테움,1,140,극장 칸테움,140,민간(대학로 외),0,서울,구로구,서울특별시 구로구 디지털로 32가길 25 (구로동),37.4821697,126.8988986
394,글루호텔 블루레인라운지,1,0,글루호텔 블루레인라운지,0,민간(대학로),0,서울,종로구,서울특별시 종로구 율곡로 228(이화동),37.5757976,127.0039601
396,금나래아트홀,1,552,금나래아트홀,552,공공(문예회관),2008,서울,금천구,서울특별시 금천구 시흥대로73길 70 (시흥동),37.4568163,126.8954085
402,금천구민문화체육센터,1,286,소극장,286,공공(기타),2001,서울,금천구,서울특별시 금천구 독산로54길 188 (독산동),37.4701375,126.9072634
403,금천문화원(금천문화회관),1,194,금천문화원(금천문화회관),194,공공(기타),1999,서울,금천구,서울특별시 금천구 시흥대로38길 61 (시흥동) 금천문화원,37.4465482,126.9043134
404,금천뮤지컬센터,1,197,금천예술극장,197,공공(기타),2021,서울,금천구,서울특별시 금천구 시흥대로115길 48(독산동),37.4684617,126.894432
405,금호아트홀 연세,1,390,금호아트홀 연세,390,민간(대학로 외),2015,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교 백양누리 B1 금호아트홀 연세,37.5628658,126.9373179
411,긱라이브하우스,1,60,긱라이브하우스,60,민간(대학로 외),2003,서울,마포구,서울특별시 마포구 신촌로10길 7(동교동),37.5563896,126.9320578
433,김희수아트센터,1,198,SPACE 1(다목적홀),198,민간(대학로 외),2010,서울,동대문구,서울특별시 동대문구 홍릉로 118 (청량리동),37.5905181,127.042821
439,꿈나무극장,1,153,꿈나무극장,153,공공(기타),2016,서울,구로구,서울특별시 구로구 구로동로26길 54 (구로동),37.4897196,126.8865539
440,꿈의숲아트센터,3,584,"퍼포먼스홀
콘서트홀
야외 볼프라자","283
301
0",공공(기타),2009,서울,강북구,서울특별시 강북구 월계로 173 (번동),37.6217709,127.0411741
441,꿈희망미래빌딩,1,0,꿈희망미래빌딩,0,민간(대학로 외),0,서울,강남구,서울특별시 강남구 논현로76길 25(역삼동),37.4976599,127.040774
445,나루아트센터,3,768,"소공연장
대공연장
갤러리(전시실)","167
601
0",공공(문예회관),2005,서울,광진구,서울특별시 광진구 능동로 76 (자양동),37.5375194,127.0706501
447,나온씨어터,1,95,나온씨어터,95,민간(대학로),2008,서울,종로구,서울특별시 종로구 혜화로9길 7 (명륜1가),37.5877039,126.9994075
450,낙타브루잉 [강남],1,0,낙타브루잉 [강남],0,기타(비공연장),0,서울,강남구,서울특별시 강남구 강남대로106길 14 (역삼동),37.5029028,127.0266662
452,난지한강공원,2,0,"난지한강공원
젊음의 광장","0
0",공공(기타),2002,서울,마포구,서울특별시 마포구 한강난지로 162 (상암동),37.5627256,126.8851826
453,남대문교회,1,400,남대문교회,400,민간(대학로 외),1885,서울,중구,서울특별시 중구 퇴계로 6 (남대문로5가),37.5582275,126.9731367
458,남산골한옥마을,6,452,"서울남산국악당 크라운해태홀
민씨가옥
천우각무대
일대
서울남산국악당 야외마당
체험실","302
50
100
0
0
0",공공(기타),2007,서울,중구,서울특별시 중구 퇴계로34길 28 (필동2가),37.5609677,126.9961131
459,남산예술센터 드라마센터,1,0,남산예술센터 드라마센터,0,민간(대학로 외),0,서울,중구,서울특별시 중구 소파로 138 (예장동),37.5589628,126.9883506
460,남서울교회,1,0,남서울교회,0,기타(비공연장),1975,서울,서초구,서울특별시 서초구 신반포로19길 36 (반포동),37.5047428,126.9950006
461,남서울대학교 아트센터 갤러리 이앙,1,100,남서울대학교 아트센터 갤러리 이앙,100,기타(비공연장),2008,서울,종로구,서울특별시 종로구 대학로 146 (혜화동),37.5842484,127.0020771
468,낭만극장,1,300,낭만극장,300,민간(대학로 외),2009,서울,종로구,서울특별시 종로구 삼일대로 428 (낙원동),37.5725724,126.9886231
469,내유외강씨어터(구. 익스트림씨어터 1관),1,177,내유외강씨어터(구. 익스트림씨어터 1관),177,민간(대학로),2012,서울,종로구,서울특별시 종로구 대학로 128 (동숭동),37.5813334,127.0043158
473,노들섬,5,1366,"잔디마당
라이브하우스
뮤직라운지: 류
다목적 홀: 숲
3층 테라스","616
750
0
0
0",공공(기타),0,서울,용산구,서울특별시 용산구 양녕로 445 (이촌동),37.5179933,126.9576478
474,노들장애인야학,1,130,대강당,130,민간(대학로),1994,서울,종로구,서울특별시 종로구 동숭길 25 (동숭동),37.5799187,127.0035083
475,노무현시민센터,1,0,다목적홀 가치하다,0,민간(대학로 외),0,서울,종로구,서울특별시 종로구 창덕궁길 73(원서동),37.5816512,126.9878544
476,노원구민의전당(구. 노원구민회관),1,679,노원구민의전당(구. 노원구민회관),679,공공(기타),1989,서울,노원구,서울특별시 노원구 동일로 1229 (중계동),37.6510125,127.0799977
477,노원문화예술회관,2,900,"대공연장
소공연장","608
292",공공(문예회관),2004,서울,노원구,서울특별시 노원구 중계로 181 (중계동),37.6501606,127.0799904
478,노원어린이극장(구.노원어울림극장),1,282,노원어린이극장(구.노원어울림극장),282,공공(기타),2020,서울,노원구,서울특별시 노원구 노해로 502 (상계동),37.6544503,127.0636915
479,노을소극장,1,80,노을소극장,80,민간(대학로),2011,서울,종로구,서울특별시 종로구 대학로8가길 66 (동숭동),37.5829733,127.0032551
482,논현1 문화센터,1,192,다목적강당,192,공공(기타),2005,서울,강남구,서울특별시 강남구 학동로20길 25 (논현동),37.511516,127.0285512
483,놀터예술공방,1,50,놀터예술공방,50,민간(대학로),2014,서울,성북구,서울특별시 성북구 성북로2길 21 - 0 태고종선부암,37.5895127,127.0070338
492,능동 어린이회관,3,450,"무지개극장
이벤트홀
유니아트센터","350
100
0",민간(대학로 외),1975,서울,광진구,서울특별시 광진구 광나루로 441 (능동),37.5468015,127.0778337
495,다락방극장,1,0,다락방극장,0,민간(대학로 외),0,서울,중구,서울특별시 중구 을지로 170(을지로4가),37.565864,126.9996925
496,다락스페이스,1,40,다락스튜디오,40,민간(대학로 외),0,서울,성동구,서울특별시 성동구 성수이로7길 24 (성수동2가),37.5414431,127.0543767
497,다락원체육공원,1,400,야외무대 / 평화문화진지 일대,400,공공(기타),0,서울,도봉구,서울특별시 도봉구 마들로 932(도봉동),37.6915543,127.0468249
498,다리 소극장,1,200,다리 소극장,200,민간(대학로 외),0,서울,마포구,서울특별시 마포구 월드컵북로2길 49(동교동),37.5572275,126.9230503
501,달밤엔씨어터,1,111,달밤엔씨어터,111,민간(대학로),2014,서울,종로구,서울특별시 종로구 대학로14길 18-2 (혜화동),37.5841543,127.0026883
502,달밤엔씨어터 (구. 푸른달극장),1,98,달밤엔씨어터 (구. 푸른달극장),98,민간(대학로),2013,서울,성북구,서울특별시 성북구 성북로26가길 14-1 (성북동),37.5961199,126.993977
