시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,서울특별시 구로구 부일로9길 111-0 온수어르신복지관 3층,Latitude,Longitude,정원(수용인원),현인원,우편번호
금천한내어르신복지센터,F03847,(노인) 노인복지관(소규모),노인여가복지시설,자치구,조영표,1154500000,금천구,"서울특별시 금천구 한내로 69-15 (독산동, 주공13단지아파트)",37.4578101,126.8870458,0,300,8598
반석노인교실,F03957,(노인) 노인교실,노인여가복지시설,자치구,주영자,1154500000,금천구,서울특별시 금천구 독산로78길 20 (독산동),37.469311,126.9035305,0,120,8557
성가정시니어아카데미,F03958,(노인) 노인교실,노인여가복지시설,자치구,공일연,1154500000,금천구,서울특별시 금천구 두산로5길 19독산1동성당 (독산동),37.4714319,126.8899911,0,45,8526
시흥노인교실,F03959,(노인) 노인교실,노인여가복지시설,자치구,이옥자,1154500000,금천구,서울특별시 금천구 금하로23다길 8 (시흥동),37.4524465,126.9091539,0,100,8574
신일노인교실,F03960,(노인) 노인교실,노인여가복지시설,자치구,최월선,1154500000,금천구,서울특별시 금천구 시흥대로90길 25신일교회 (독산동),37.4617407,126.8992302,0,120,8619
제일노인교실,F03961,(노인) 노인교실,노인여가복지시설,자치구,강환준,1154500000,금천구,서울특별시 금천구 탑골로2길 56제일교회 (시흥동),37.4504028,126.9133095,0,120,8656
행복시니어아카데미,F03962,(노인) 노인교실,노인여가복지시설,자치구,이계철,1154500000,금천구,서울특별시 금천구 독산로38길 10시흥4동성당 (시흥동),37.4593465,126.905875,0,100,8568
금천어르신복지센터,F04655,(노인) 노인교실,노인여가복지시설,자치구,김미성,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동),37.4674866,126.8944388,,,8585
시흥중앙교회 시니어아카데미,F04691,(노인) 노인교실,노인여가복지시설,자치구,김성은,1154500000,금천구,서울특별시 금천구 시흥대로72길 13 (시흥동),37.4572216,126.9002485,,60,8624
구립 수락노인종합복지관,F14041,(노인) 노인복지관,노인여가복지시설,자치구,장지연,1135000000,노원구,서울특별시 노원구 수락산로 214상계동 (상계동),37.668603,127.0627953,,,1616
구립 수락노인종합복지관,F14043,(노인) 노인복지관,노인여가복지시설,자치구,장지연,1135000000,노원구,"서울특별시 노원구 수락산로 214(상계동, 구립 수락노인종합복지관)(상계동)",37.6708025,127.054915,,,1616
구립용마경로복지센터,G0434,(노인) 노인복지관(소규모),노인여가복지시설,자치구,윤혜숙,1126000000,중랑구,서울특별시 중랑구 용마산로94길 98 (면목동),37.5873828,127.1018027,1205,1205,2191
인왕노인복지관,G0723,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박광준,1141000000,서대문구,서울특별시 서대문구 통일로26길12-5 (홍제동),37.5824794,126.950509,300,130,3635
용강노인복지관,G0811,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김성호,1144000000,마포구,서울특별시 마포구 토정로31길 31 (용강동),37.5423159,126.9427919,,200,4161
목동어르신복지관,G1269,(노인) 노인복지관,노인여가복지시설,자치구,박노숙,1147000000,양천구,서울특별시 양천구 목동  765번지 1호,37.5363383,126.868967,27,27,7962
사당어르신종합복지관,G1437,(노인) 노인복지관,노인여가복지시설,자치구,최재경,1159000000,동작구,서울특별시 동작구 남부순환로 2081 (사당동),37.4769963,126.979846,635,788,7025
구립영등포어르신복지센터,G1685,(노인) 노인교실,노인여가복지시설,자치구,김나희,1156000000,영등포구,"서울특별시 영등포구 도영로22길 36-0 4층,해광빌딩",37.5101591,126.9032904,0,2100,7369
영등포50플러스센터,G1782,(노인) 노인교실,노인여가복지시설,자치구,오주호,1156000000,영등포구,서울특별시 영등포구 여의대방로 372여의도복지관 3층 ,37.5181371,126.9307572,,500,7342
구립여의도어르신복지센터,G1783,(노인) 노인교실,노인여가복지시설,자치구,오주호,1156000000,영등포구,서울특별시 영등포구 여의대방로 372 (여의도동),37.5181371,126.9307572,700,200,7342
압구정노인복지관,G2071,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김성진,1168000000,강남구,서울특별시 강남구 도산대로53길5 (신사동),37.5235618,127.0381799,,200,6019
노원50플러스센터,G2529,(노인) 노인교실,노인여가복지시설,자치구,장부경,1135000000,노원구,서울특별시 노원구 노원로30길73 (상계동),37.6561192,127.0707025,110,8052,1697
성동구립 사근동노인복지센터,G2855,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이도선,1120000000,성동구,"서울특별시 성동구 사근동길 37, 2층 (사근동)",37.5614022,127.0453002,0,0,4761
밝은내어르신복지센터,G3369,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김동호,1147000000,양천구,"서울특별시 양천구 신월로24길 19 (신월동, 신월종합사회복지관 2층)",37.5199787,126.8473171,,350,158600
구립대조노인복지관,G3614,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이동열,1138000000,은평구,서울특별시 은평구 역말로9길 27(대조동),37.6134523,126.9219852,400,300,3389
구립신내경로복지센터,G3875,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최유형,1126000000,중랑구,서울특별시 중랑구 망우로65길 20-0 (신내동)20 (신내동),37.6012571,127.0999259,,,2072
월계어르신복지센터,G4109,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김현범,1135000000,노원구,서울특별시 노원구 월계동  936번지,37.6242587,127.0508007,,,1884
