,공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
1384,스위스그랜드호텔,그랜드볼룸,400,0,0,0,0,기타(비공연장),서울특별시 서대문구 연희로 353 (홍은동)
1385,스위스그랜드호텔,에메랄드홀,300,0,0,0,0,기타(비공연장),서울특별시 서대문구 연희로 353 (홍은동)
1386,스위스그랜드호텔,합계,1500,1,1,2,1241,기타(비공연장),서울특별시 서대문구 연희로 353 (홍은동)
1388,극장 동국,합계,84,15,15,173,1210,민간(대학로),서울특별시 종로구 창경궁로 259
1392,신촌문화발전소,합계,80,13,13,54,1192,공공(기타),서울특별시 서대문구 연세로2나길 57 (창천동)
1393,북촌창우극장,합계,100,21,21,127,1190,민간(대학로 외),서울특별시 종로구 창덕궁길 29-6 (원서동)
1398,대학로 마로니에소극장(플레이더씨어터),합계,130,5,4,137,1168,민간(대학로),서울특별시 종로구 동숭길 50 (동숭동)
1403,성북구민회관,합계,750,3,3,11,1141,공공(기타),서울특별시 성북구 성북로4길 177 - 0 성북구민회관
1407,동덕여자대학교 백주년기념관,합계,650,1,1,2,1088,민간(대학로 외),서울특별시 성북구 화랑로13길 60 (하월곡동) 
1408,대한성공회 서울주교좌성당,합계,200,5,5,5,1074,민간(대학로 외),서울특별시 중구 세종대로21길 15 (정동)
1413,룸씨어터,합계,0,3,3,136,1071,민간(대학로),서울특별시 종로구 대학로10길 12(동숭동)
1416,세라믹팔레스홀,합계,440,34,34,34,1020,민간(대학로 외),서울특별시 강남구 일원로 90 (일원동)
1417,아름다운극장,합계,100,11,10,91,1020,민간(대학로),서울특별시 종로구 성균관로4길 48 (명륜2가)
1418,라이트 하우스,합계,0,2,1,46,991,민간(대학로 외),서울특별시 성북구 삼선교로10다길 74(삼선동1가)
1419,예술가의 집,합계,100,17,17,21,977,국립,서울특별시 종로구 동숭길 3 (동숭동)
1425,서초문화예술회관(구. 서초구민회관),합계,690,2,2,2,931,공공(문예회관),서울특별시 서초구 강남대로 201 (양재동) 서초구민회관
1427,노무현시민센터,합계,0,1,1,7,923,민간(대학로 외),서울특별시 종로구 창덕궁길 73(원서동)
1428,명동대성당,파밀리아 채플,200,5,5,5,560,기타(비공연장),서울특별시 중구 명동길 74 (명동2가) 명동성당
1429,명동대성당,대성전,0,1,1,1,350,기타(비공연장),서울특별시 중구 명동길 74 (명동2가) 명동성당
1430,명동대성당,꼬스트홀,450,0,0,0,0,기타(비공연장),서울특별시 중구 명동길 74 (명동2가) 명동성당
1431,명동대성당,합계,650,6,6,6,910,기타(비공연장),서울특별시 중구 명동길 74 (명동2가) 명동성당
1440,삼일로창고극장,합계,50,9,9,52,841,민간(대학로 외),서울특별시 중구 삼일대로9길 12 (저동1가)
1447,문화정원 아트홀,합계,200,7,7,7,814,민간(대학로 외),서울특별시 금천구 가산로 61 (독산동)
1458,피카소소극장,합계,109,12,12,100,784,민간(대학로),서울특별시 종로구 대학로11길 38-11 (명륜4가)
1461,서울아트센터,합계,1083,4,4,4,766,민간(대학로 외),서울특별시 종로구 평창문화로 70 (평창동)
1463,졸탄극장,합계,179,2,2,48,760,민간(대학로),서울특별시 종로구 이화장길 58 (이화동)
1466,매지클,합계,18,2,0,109,742,민간(대학로 외),서울특별시 강남구 삼성로61길 30 (대치동)
1472,민속극장풍류,합계,164,9,9,11,730,공공(기타),서울특별시 강남구 봉은사로 406 (삼성동)
1477,예술나무씨어터(구. 상상나눔씨어터),합계,232,4,4,52,726,민간(대학로 외),"서울특별시 구로구 구로중앙로 134 (구로동, 신구로자이나인스에비뉴)"
1478,문래재즈IN,합계,60,33,33,33,720,민간(대학로 외),서울특별시 영등포구 도림로 475 (문래동4가)
1483,아트씨어터 문(안톤체홉극장),합계,0,7,7,112,707,민간(대학로),서울특별시 종로구 성균관로3길 23 (명륜3가)
1490,공간 와디즈,합계,0,2,2,14,695,민간(대학로 외),서울특별시 성동구 연무장1길 7-1(성수동2가)
1494,CLUB bender(클럽 벤더),합계,0,11,11,12,673,민간(대학로 외),서울특별시 마포구 와우산로14길 4 (상수동) 지하1층
1497,복합공간 에무,팡타 개라지,100,19,19,19,413,민간(대학로 외),서울특별시 종로구 경희궁1가길 7 (신문로2가)
