,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
1277,아이러브아트홀,1.0,80.0,아이러브아트홀,80,민간(대학로 외),2018.0,서울,강남구,서울특별시 강남구 압구정로32길 30 (신사동)
1279,아일랜드이너프 도산공원점,1.0,30.0,아일랜드이너프 도산공원점,30,기타(비공연장),0.0,서울,강남구,서울특별시 강남구 도산대로45길 16-8(신사동)
1280,아일랜드이너프 마곡점,1.0,50.0,아일랜드이너프 마곡점,50,기타(비공연장),0.0,서울,강서구,서울특별시 강서구 강서로 486(가양동)
1281,아일랜드이너프 사당점,1.0,50.0,아일랜드이너프 사당점,50,기타(비공연장),0.0,서울,관악구,서울특별시 관악구 남부순환로 2050(남현동)
1282,아일랜드이너프 선릉점,1.0,40.0,아일랜드이너프 선릉점,40,기타(비공연장),0.0,서울,강남구,서울특별시 강남구 선릉로76길 25(대치동)
1283,아일랜드이너프 양재점,1.0,40.0,아일랜드이너프 양재점,40,기타(비공연장),0.0,서울,서초구,서울특별시 서초구 강남대로37길 40(서초동)
1284,아일랜드이너프 연남점,1.0,30.0,아일랜드이너프 연남점,30,기타(비공연장),0.0,서울,마포구,서울특별시 마포구 연남로 97(연남동)
1285,아일랜드이너프 이태원점,1.0,32.0,아일랜드이너프 이태원점,32,기타(비공연장),0.0,서울,용산구,서울특별시 용산구 녹사평대로40나길 22(이태원동)
1294,아트선재센터,1.0,238.0,아트홀,238,기타(비공연장),1998.0,서울,종로구,서울특별시 종로구 율곡로3길 87 (소격동)
1302,아트씨어터 문(안톤체홉극장),1.0,0.0,아트씨어터 문(안톤체홉극장),0,민간(대학로),2007.0,서울,종로구,서울특별시 종로구 성균관로3길 23 (명륜3가)
1303,아트코드갤러리,1.0,0.0,아트코드갤러리,0,기타(비공연장),0.0,서울,강남구,서울특별시 강남구 언주로126길 13(논현동)
1306,아트포레스트 아트홀,2.0,367.0,"1관
2관","212
155",민간(대학로),2016.0,서울,종로구,서울특별시 종로구 대학로12길 22 (동숭동)
1308,아트하우스,1.0,207.0,아트하우스,207,민간(대학로),0.0,서울,종로구,서울특별시 종로구 대학로10길 26(동숭동)
1311,아트홀제이,1.0,23.0,아트홀제이,23,민간(대학로 외),2016.0,서울,송파구,서울특별시 송파구 위례성대로 18 (방이동)
1312,아틀리에 스톰프,1.0,0.0,아틀리에 스톰프,0,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 봉은사로74길 6(삼성동)
1313,아티스탄홀,1.0,300.0,아티스탄홀,300,민간(대학로),2003.0,서울,종로구,서울특별시 종로구 대학로 132 (동숭동)
1315,아프리카 콜로세움,1.0,0.0,아프리카 콜로세움,0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 매봉산로 31(상암동)
1316,아프리카TV 프릭업 스튜디오,1.0,0.0,아프리카TV 프릭업 스튜디오,0,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 테헤란로 626(대치동)
1334,알록 에피소드,1.0,0.0,알록 에피소드,0,민간(대학로 외),0.0,서울,용산구,서울특별시 용산구 백범로87길 26 (원효로1가)
1335,알카드 스튜디오,1.0,0.0,알카드 스튜디오,0,기타(비공연장),2020.0,서울,종로구,서울특별시 종로구 필운대로2길 14 (체부동)
1337,암사어린이극장,1.0,250.0,암사어린이극장,250,민간(대학로 외),2005.0,서울,강동구,서울특별시 강동구 올림픽로 930 (암사동)
1338,압구정예홀(압구정클럽),1.0,200.0,압구정예홀(압구정클럽),200,민간(대학로 외),2006.0,서울,강남구,서울특별시 강남구 언주로174길 30 (신사동) 한국국제예술원
1339,앙상블리안,1.0,40.0,앙상블홀,40,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 도곡로3길 13 (역삼동)
1340,앙트레블,1.0,0.0,앙트레블,0,기타(비공연장),0.0,서울,강남구,서울특별시 강남구 강남대로102길 45(역삼동)
1342,앤트러사이트 [서교],1.0,0.0,앤트러사이트 [서교],0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 월드컵로12길 11 (서교동)
