분류명,공간명(한글),공간명(영어),개관년도,지역,우편번호,주소,Latitude,Longitude
공연장,컬투홀,,2006,종로구  ,       ,서울시 종로구 혜화동 179-4,37.5835156,127.0021666
공연연습실(대학로),컬투홀,,    ,종로구  ,110-809,서울시 종로구 대학로 128,37.5827062,127.0021527
미술관,코리아나미술관,,    ,강남구  ,135-895,서울시 강남구 언주로 827,37.524005,127.0326264
공연장,코엑스 오디토리움 대극장,COEX Auditorium Theater,    ,강남구  ,       ,서울시 강남구 삼성동 무역센터 코엑스 신관 3층,37.5116828,127.059151
공연장,코엑스아트홀,Coex Art Hall,    ,강남구  ,       ,서울시 강남구 삼성동 159번지 코엑스본관 2층,37.5125207,127.0588194
공연연습실(대학로),코엑스아트홀,,    ,강남구  ,135-975,서울시 강남구 봉은사로 524,37.5125207,127.0588194
공연장,코우스(한국문화의 집),KOUS,2003,강남구  ,       ,서울시 강남구 대치동 944-22번지,37.506839,127.0604679
공연장,콘텐츠문화광장,Multi Content Testbed,2017,동대문구 ,2456,"서울시 동대문구 회기로 66 (청량리동, 한국과학기술정보연구원)",37.5905801,127.044711
공연장,콘텐츠문화광장,MULTI CONTENT TESTBED,2017,동대문구 ,2456,"서울시 동대문구 회기로 66 (청량리동, 한국과학기술정보연구원, 한국콘텐츠진흥원)",37.5905801,127.044711
미술관,콜론비 아츠 갤러리,Colon B Arts Gallery,2017,종로구  ,3194,"서울시 종로구 청계천로 159 (장사동, 세운상가)",37.5697077,126.995225
공연연습실(대학로),키득키득아트홀,,    ,종로구  ,110-809,서울시 종로구 동숭길 68,37.5813334,127.0043158
공연장,"키득키득아트홀(구,루나틱아트홀)",,2004,종로구  ,       ,서울시 종로구 동숭동 1-150번지,37.5801091,127.0042689
공연장,키작은소나무,,2009,종로구  ,       ,서울시 종로구 혜화동 37-1,37.5875961,127.0032172
공연연습실(대학로),탑아트홀,,    ,종로구  ,110-809,서울시 종로구 동숭길 72,37.581449,127.0043088
복지관,태화기독교사회복지관,,    ,강남구  ,135-886,서울시 강남구 광평로 185,37.4848471,127.0933248
