"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
"동별(1)",동별(2),동별(3),가구 (가구),시설 (개소),인원 (명),가구 (가구),인원 (명),가구 (가구),인원 (명),가구 (가구),인원 (명),시설 (개소),인원 (명)
"본청",성동구,옥수동,375,-,532,314,423,44,88,17,21,-,-
"본청",성동구,기타,7,12,141,7,7,-,-,-,-,12,134
"본청",광진구,소계,9659,19,13261,8300,11029,1261,2030,98,129,19,73
"본청",광진구,화양동,616,-,730,561,660,52,65,3,5,-,-
"본청",광진구,군자동,714,-,921,644,825,64,87,6,9,-,-
"본청",광진구,중곡1동,700,-,989,591,815,101,162,8,12,-,-
"본청",광진구,중곡2동,649,-,935,549,764,94,164,6,7,-,-
"본청",광진구,중곡3동,833,-,1204,730,1026,99,173,4,5,-,-
"본청",광진구,중곡4동,1085,-,1534,909,1228,159,282,17,24,-,-
"본청",광진구,능동,274,-,383,224,299,47,78,3,6,-,-
"본청",광진구,구의1동,706,-,976,615,826,88,146,3,4,-,-
"본청",광진구,구의2동,776,-,1132,655,945,117,183,4,4,-,-
"본청",광진구,구의3동,401,-,553,335,449,65,102,1,2,-,-
"본청",광진구,광장동,202,-,271,185,246,12,18,5,7,-,-
"본청",광진구,자양1동,941,-,1294,796,1061,127,212,18,21,-,-
"본청",광진구,자양2동,633,-,883,528,699,100,177,5,7,-,-
"본청",광진구,자양3동,280,-,381,240,331,37,47,3,3,-,-
"본청",광진구,자양4동,848,-,1001,737,854,99,134,12,13,-,-
"본청",광진구,기타,1,19,74,1,1,-,-,-,-,19,73
"본청",동대문구,소계,12527,27,16190,10877,13658,1196,1800,454,564,27,168
"본청",동대문구,회기동,288,-,364,256,323,26,31,6,10,-,-
"본청",동대문구,휘경1동,302,-,386,258,325,39,55,5,6,-,-
"본청",동대문구,휘경2동,527,-,703,466,610,44,75,17,18,-,-
"본청",동대문구,청량리동,1481,-,1741,1315,1521,123,170,43,50,-,-
"본청",동대문구,용신동,1442,-,1680,1244,1425,157,202,41,53,-,-
"본청",동대문구,제기동,1307,-,1577,1138,1350,120,165,49,62,-,-
"본청",동대문구,전농1동,1479,-,1837,1262,1526,140,213,77,98,-,-
"본청",동대문구,전농2동,593,-,805,513,681,46,78,34,46,-,-
"본청",동대문구,답십리2동,1006,-,1313,900,1149,66,114,40,50,-,-
"본청",동대문구,장안1동,1170,-,1620,1021,1398,119,187,30,35,-,-
"본청",동대문구,장안2동,956,-,1366,809,1140,120,190,27,36,-,-
"본청",동대문구,이문1동,575,-,743,489,629,66,93,20,21,-,-
"본청",동대문구,이문2동,726,-,1009,643,868,48,96,35,45,-,-
"본청",동대문구,답십리1동,656,-,866,549,701,77,131,30,34,-,-
"본청",동대문구,기타,19,27,180,14,12,5,-,-,-,27,168
"본청",중랑구,소계,19240,45,27154,17123,23100,1933,3259,184,223,45,572
"본청",중랑구,면목2동,1300,-,1715,1168,1510,118,188,14,17,-,-
"본청",중랑구,면목4동,1282,-,1807,1132,1533,140,263,10,11,-,-
"본청",중랑구,면목5동,535,-,813,474,707,56,99,5,7,-,-
"본청",중랑구,면목7동,902,-,1137,790,978,105,152,7,7,-,-
"본청",중랑구,상봉1동,1165,-,1714,1019,1434,137,266,9,14,-,-
"본청",중랑구,상봉2동,873,-,1103,769,972,89,114,15,17,-,-
"본청",중랑구,중화1동,762,-,1105,656,911,99,186,7,8,-,-
"본청",중랑구,중화2동,1932,-,2511,1680,2134,240,363,12,14,-,-
"본청",중랑구,묵1동,873,-,1265,780,1110,86,147,7,8,-,-
"본청",중랑구,묵2동,829,-,1100,726,942,97,148,6,10,-,-
"본청",중랑구,망우3동,1411,-,1921,1239,1646,142,240,30,35,-,-
"본청",중랑구,신내1동,1258,-,2097,1164,1892,86,194,8,11,-,-
"본청",중랑구,신내2동,1049,-,1440,979,1299,64,132,6,9,-,-
"본청",중랑구,면목본동,1891,-,2540,1713,2266,158,251,20,23,-,-
"본청",중랑구,면목3.8동,1438,-,1970,1276,1717,143,232,19,21,-,-
"본청",중랑구,망우본동,1739,-,2343,1557,2048,173,284,9,11,-,-
"본청",중랑구,기타,1,45,573,1,1,-,-,-,-,45,572
"본청",성북구,소계,11964,29,16740,9744,12581,1986,3496,234,263,29,400
"본청",성북구,돈암1동,463,-,621,392,507,63,106,8,8,-,-
"본청",성북구,돈암2동,279,-,372,238,303,33,58,8,11,-,-
"본청",성북구,안암동,359,-,482,296,373,53,97,10,12,-,-
"본청",성북구,보문동,380,-,486,318,396,54,82,8,8,-,-
"본청",성북구,정릉1동,315,-,423,260,324,53,97,2,2,-,-
"본청",성북구,정릉2동,525,-,758,425,575,94,177,6,6,-,-
"본청",성북구,정릉3동,569,-,755,483,606,77,140,9,9,-,-
"본청",성북구,정릉4동,617,-,850,527,685,84,159,6,6,-,-
"본청",성북구,길음1동,454,-,592,384,483,51,88,19,21,-,-
"본청",성북구,길음2동,400,-,516,339,414,53,92,8,10,-,-
"본청",성북구,월곡1동,764,-,1018,599,748,142,242,23,28,-,-
"본청",성북구,월곡2동,606,-,748,510,618,85,118,11,12,-,-
"본청",성북구,장위1동,1245,-,2013,924,1383,303,609,18,21,-,-
"본청",성북구,장위2동,754,-,1076,599,794,140,260,15,22,-,-
"본청",성북구,장위3동,395,-,593,331,471,55,111,9,11,-,-
"본청",성북구,성북동,305,-,416,252,322,50,89,3,5,-,-
"본청",성북구,삼선동,674,-,865,563,698,94,148,17,19,-,-
"본청",성북구,동선동,380,-,458,296,361,74,89,10,8,-,-
"본청",성북구,종암동,1081,-,1401,872,1056,186,323,23,22,-,-
"본청",성북구,석관동,1388,-,1886,1126,1454,241,410,21,22,-,-
"본청",성북구,기타,11,29,411,10,10,1,1,-,-,29,400
"본청",강북구,소계,15882,34,21917,13213,17379,2267,3750,402,527,34,261
"본청",강북구,번1동,989,-,1223,827,1013,144,187,18,23,-,-
"본청",강북구,번2동,1299,-,1886,1045,1429,206,384,48,73,-,-
"본청",강북구,번3동,1915,-,2857,1648,2329,209,442,58,86,-,-
"본청",강북구,수유1동,1123,-,1536,939,1240,159,265,25,31,-,-
"본청",강북구,수유2동,984,-,1372,830,1115,133,230,21,27,-,-
"본청",강북구,수유3동,1334,-,1718,1094,1392,229,312,11,14,-,-
